book_delta│book_imbalance│mid_price│timestamp
-7500.0│-0.3931873908003265│88065000.0│2024-05-01 00:01:17.962032
7500.0│-0.2903238478942381│88072500.0│2024-05-01 00:01:18.962032
0.0│-0.3007161258835141│88072500.0│2024-05-01 00:01:19.962032
500.0│-0.3017505122279676│88073000.0│2024-05-01 00:01:20.962032
0.0│-0.12339691096620843│88073000.0│2024-05-01 00:01:21.962033
0.0│-0.12339691096620843│88073000.0│2024-05-01 00:01:22.962033
0.0│-0.11360319179371│88073000.0│2024-05-01 00:01:23.962033
0.0│0.011266429087339934│88073000.0│2024-05-01 00:01:24.962034
0.0│0.011266429087339934│88073000.0│2024-05-01 00:01:25.962036
0.0│0.02900298008571461│88073000.0│2024-05-01 00:01:26.962036
-500.0│0.034421363714828075│88072500.0│2024-05-01 00:01:27.962036
0.0│0.04402345086743215│88072500.0│2024-05-01 00:01:28.962037
0.0│0.01595589250400231│88072500.0│2024-05-01 00:01:29.962039
500.0│0.0007966200962728831│88073000.0│2024-05-01 00:01:30.962040
0.0│0.03182316805121464│88073000.0│2024-05-01 00:01:31.962040
0.0│0.07089662497109678│88073000.0│2024-05-01 00:01:32.962041
0.0│0.3423872663190674│88073000.0│2024-05-01 00:01:33.962041
0.0│0.3428360610472768│88073000.0│2024-05-01 00:01:34.962042
0.0│0.3563428874081699│88073000.0│2024-05-01 00:01:35.962042
21500.0│0.2724353884845788│88094500.0│2024-05-01 00:01:36.962042
0.0│0.5241687298995887│88094500.0│2024-05-01 00:01:37.962043
0.0│0.46546836885607196│88094500.0│2024-05-01 00:01:38.962043
0.0│0.41101257818859993│88094500.0│2024-05-01 00:01:39.962043
0.0│0.2863743914780494│88094500.0│2024-05-01 00:01:40.962043
0.0│0.5961453074978852│88094500.0│2024-05-01 00:01:41.962044
0.0│0.6013253702561663│88094500.0│2024-05-01 00:01:42.962045
0.0│0.5996542100578115│88094500.0│2024-05-01 00:01:43.962045
6500.0│0.6625564653386167│88101000.0│2024-05-01 00:01:44.962045
0.0│0.6569673882404138│88101000.0│2024-05-01 00:01:45.962046
-6500.0│0.43648037165327996│88094500.0│2024-05-01 00:01:46.962046
0.0│0.4348457334019434│88094500.0│2024-05-01 00:01:47.962046
6500.0│0.2908441399740437│88101000.0│2024-05-01 00:01:48.962048
0.0│0.32689955640476287│88101000.0│2024-05-01 00:01:49.962049
0.0│0.3275029796601637│88101000.0│2024-05-01 00:01:50.962049
