price|quantity|type|timestamp
4741000|0.1032|1|2024-04-29 00:00:59
4742000|8.9439|1|2024-04-29 00:00:59
4743000|18.4298|1|2024-04-29 00:00:59
4736000|2.0951|0|2024-04-29 00:01:04
4735000|3.5706|0|2024-04-29 00:01:04
4734000|0.4242|0|2024-04-29 00:01:04
4733000|20.0172|0|2024-04-29 00:01:04
4732000|1.0|0|2024-04-29 00:01:04
4739000|2.5466|1|2024-04-29 00:01:04
4740000|8.4775|1|2024-04-29 00:01:04
4741000|0.1032|1|2024-04-29 00:01:04
4742000|3.6139|1|2024-04-29 00:01:04
4743000|18.4298|1|2024-04-29 00:01:04
4736000|20.2452|0|2024-04-29 00:01:09
4735000|3.5706|0|2024-04-29 00:01:09
4734000|1.0887|0|2024-04-29 00:01:09
4733000|1.4572|0|2024-04-29 00:01:09
4732000|6.33|0|2024-04-29 00:01:09
4739000|0.8922|1|2024-04-29 00:01:09
4740000|8.4775|1|2024-04-29 00:01:09
4741000|0.001|1|2024-04-29 00:01:09
4742000|3.6139|1|2024-04-29 00:01:09
4744000|7.5629|1|2024-04-29 00:01:09
4738000|3.5458|0|2024-04-29 00:01:14
4737000|4.7822|0|2024-04-29 00:01:14
4736000|15.0|0|2024-04-29 00:01:14
4735000|3.5706|0|2024-04-29 00:01:14
4734000|1.0887|0|2024-04-29 00:01:14
4740000|7.6573|1|2024-04-29 00:01:14
4741000|0.001|1|2024-04-29 00:01:14
4742000|3.6139|1|2024-04-29 00:01:14
4743000|0.1022|1|2024-04-29 00:01:14
4744000|22.5629|1|2024-04-29 00:01:14
4738000|0.3172|0|2024-04-29 00:01:19
4737000|7.0538|0|2024-04-29 00:01:19
4736000|15.0|0|2024-04-29 00:01:19
4735000|5.1024|0|2024-04-29 00:01:19
4734000|1.0761|0|2024-04-29 00:01:19
4740000|7.6573|1|2024-04-29 00:01:19
4741000|3.561|1|2024-04-29 00:01:19
4742000|0.0539|1|2024-04-29 00:01:19
4743000|0.1022|1|2024-04-29 00:01:19
4744000|22.5609|1|2024-04-29 00:01:19
4738000|2.4251|0|2024-04-29 00:01:24
4737000|2.6003|0|2024-04-29 00:01:24
4736000|19.346|0|2024-04-29 00:01:24
4735000|4.56|0|2024-04-29 00:01:24
4734000|1.0633|0|2024-04-29 00:01:24
4740000|7.6573|1|2024-04-29 00:01:24
4741000|0.001|1|2024-04-29 00:01:24
4742000|0.0539|1|2024-04-29 00:01:24
4743000|0.1022|1|2024-04-29 00:01:24
4744000|4.5609|1|2024-04-29 00:01:24
4738000|2.4251|0|2024-04-29 00:01:29
4737000|6.1603|0|2024-04-29 00:01:29
4736000|20.5523|0|2024-04-29 00:01:29
4735000|1.0|0|2024-04-29 00:01:29
4734000|1.0633|0|2024-04-29 00:01:29
4739000|0.0152|1|2024-04-29 00:01:29
4740000|7.645|1|2024-04-29 00:01:29
4741000|0.001|1|2024-04-29 00:01:29
4742000|0.0539|1|2024-04-29 00:01:29
4743000|3.6622|1|2024-04-29 00:01:29
4738000|2.4251|0|2024-04-29 00:01:34
4737000|6.1603|0|2024-04-29 00:01:34
4736000|20.5523|0|2024-04-29 00:01:34
4735000|1.0|0|2024-04-29 00:01:34
4734000|1.0633|0|2024-04-29 00:01:34
4739000|0.0152|1|2024-04-29 00:01:34
4740000|7.7307|1|2024-04-29 00:01:34
4741000|0.001|1|2024-04-29 00:01:34
4742000|0.0539|1|2024-04-29 00:01:34
4743000|3.6622|1|2024-04-29 00:01:34
4738000|5.9851|0|2024-04-29 00:01:39
4737000|1.3859|0|2024-04-29 00:01:39
4736000|20.5523|0|2024-04-29 00:01:39
4735000|1.0|0|2024-04-29 00:01:39
4734000|1.0633|0|2024-04-29 00:01:39
4740000|7.635|1|2024-04-29 00:01:39
4741000|0.001|1|2024-04-29 00:01:39
4742000|0.0539|1|2024-04-29 00:01:39
4743000|3.6622|1|2024-04-29 00:01:39
4744000|1.0009|1|2024-04-29 00:01:39
4738000|5.8269|0|2024-04-29 00:01:44
4737000|1.7213|0|2024-04-29 00:01:44
4736000|19.0106|0|2024-04-29 00:01:44
4735000|1.0|0|2024-04-29 00:01:44
4734000|1.0633|0|2024-04-29 00:01:44
4740000|7.635|1|2024-04-29 00:01:44
4741000|0.001|1|2024-04-29 00:01:44
4742000|0.0539|1|2024-04-29 00:01:44
4743000|3.6622|1|2024-04-29 00:01:44
4744000|1.0009|1|2024-04-29 00:01:44
4738000|5.829|0|2024-04-29 00:01:49
4737000|1.3859|0|2024-04-29 00:01:49
4736000|19.3463|0|2024-04-29 00:01:49
4735000|2.2063|0|2024-04-29 00:01:49
4734000|1.0633|0|2024-04-29 00:01:49
4740000|7.6327|1|2024-04-29 00:01:49
4741000|0.001|1|2024-04-29 00:01:49
4742000|3.6139|1|2024-04-29 00:01:49
4743000|0.1022|1|2024-04-29 00:01:49
4744000|1.0009|1|2024-04-29 00:01:49
4738000|0.1611|0|2024-04-29 00:01:54
4737000|5.6683|0|2024-04-29 00:01:54
4736000|1.9918|0|2024-04-29 00:01:54
4735000|19.7665|0|2024-04-29 00:01:54
4734000|1.0633|0|2024-04-29 00:01:54
4740000|7.3256|1|2024-04-29 00:01:54
4741000|0.001|1|2024-04-29 00:01:54
4742000|0.0539|1|2024-04-29 00:01:54
4743000|0.1022|1|2024-04-29 00:01:54
4744000|1.0009|1|2024-04-29 00:01:54
4738000|0.158|0|2024-04-29 00:01:59
4737000|5.6683|0|2024-04-29 00:01:59
4736000|0.4506|0|2024-04-29 00:01:59
4735000|20.1023|0|2024-04-29 00:01:59
4734000|1.0633|0|2024-04-29 00:01:59
4740000|7.3256|1|2024-04-29 00:01:59
4741000|0.001|1|2024-04-29 00:01:59
