89562000|0.0221|1|2024-04-30 00:00:58
89572000|0.0362|1|2024-04-30 00:00:58
89573000|0.0375|1|2024-04-30 00:00:58
89558000|0.06|0|2024-04-30 00:01:03
89553000|0.2|0|2024-04-30 00:01:03
89552000|0.0572|0|2024-04-30 00:01:03
89551000|0.0009|0|2024-04-30 00:01:03
89546000|0.001|0|2024-04-30 00:01:03
89578000|0.0002|1|2024-04-30 00:01:03
89586000|0.031|1|2024-04-30 00:01:03
89589000|0.0001|1|2024-04-30 00:01:03
89594000|0.0131|1|2024-04-30 00:01:03
89597000|0.317|1|2024-04-30 00:01:03
89565000|0.016|0|2024-04-30 00:01:08
89564000|0.032|0|2024-04-30 00:01:08
89563000|0.0137|0|2024-04-30 00:01:08
89560000|0.016|0|2024-04-30 00:01:08
89559000|0.016|0|2024-04-30 00:01:08
89587000|0.0351|1|2024-04-30 00:01:08
89590000|0.0645|1|2024-04-30 00:01:08
89592000|0.0591|1|2024-04-30 00:01:08
89600000|5.002|1|2024-04-30 00:01:08
89603000|0.0419|1|2024-04-30 00:01:08
89575000|0.0124|0|2024-04-30 00:01:13
89563000|0.02|0|2024-04-30 00:01:13
89560000|0.016|0|2024-04-30 00:01:13
89559000|0.016|0|2024-04-30 00:01:13
89558000|0.0783|0|2024-04-30 00:01:13
89588000|0.317|1|2024-04-30 00:01:13
89600000|7.8019|1|2024-04-30 00:01:13
89606000|0.0045|1|2024-04-30 00:01:13
89608000|0.0014|1|2024-04-30 00:01:13
89613000|0.0634|1|2024-04-30 00:01:13
89567000|0.001|0|2024-04-30 00:01:18
89563000|0.004|0|2024-04-30 00:01:18
89558000|0.061|0|2024-04-30 00:01:18
89552000|0.0423|0|2024-04-30 00:01:18
89551000|0.0009|0|2024-04-30 00:01:18
89586000|0.001|1|2024-04-30 00:01:18
89587000|0.1252|1|2024-04-30 00:01:18
89588000|0.3168|1|2024-04-30 00:01:18
89600000|7.6906|1|2024-04-30 00:01:18
89604000|0.0617|1|2024-04-30 00:01:18
89552000|0.0041|0|2024-04-30 00:01:23
89551000|0.0009|0|2024-04-30 00:01:23
89546000|0.001|0|2024-04-30 00:01:23
89545000|0.0222|0|2024-04-30 00:01:23
89542000|0.0082|0|2024-04-30 00:01:23
89573000|0.006|1|2024-04-30 00:01:23
89578000|0.0623|1|2024-04-30 00:01:23
89587000|0.9001|1|2024-04-30 00:01:23
89591000|0.0557|1|2024-04-30 00:01:23
89595000|0.0063|1|2024-04-30 00:01:23
89542000|0.0162|0|2024-04-30 00:01:28
89510000|0.0019|0|2024-04-30 00:01:28
89503000|0.016|0|2024-04-30 00:01:28
89502000|0.0171|0|2024-04-30 00:01:28
89501000|0.016|0|2024-04-30 00:01:28
89543000|0.317|1|2024-04-30 00:01:28
89548000|0.1755|1|2024-04-30 00:01:28
89552000|0.0227|1|2024-04-30 00:01:28
89565000|0.0563|1|2024-04-30 00:01:28
89576000|0.0646|1|2024-04-30 00:01:28
89500000|0.0001|0|2024-04-30 00:01:33
89499000|0.0001|0|2024-04-30 00:01:33
89494000|0.0022|0|2024-04-30 00:01:33
89488000|0.0057|0|2024-04-30 00:01:33
89475000|0.0007|0|2024-04-30 00:01:33
89502000|0.0169|1|2024-04-30 00:01:33
89510000|0.0356|1|2024-04-30 00:01:33
89514000|0.317|1|2024-04-30 00:01:33
89531000|0.0601|1|2024-04-30 00:01:33
89541000|0.0584|1|2024-04-30 00:01:33
89488000|0.0001|0|2024-04-30 00:01:38
89475000|0.0007|0|2024-04-30 00:01:38
89446000|0.0024|0|2024-04-30 00:01:38
89440000|0.0055|0|2024-04-30 00:01:38
89439000|0.0011|0|2024-04-30 00:01:38
89501000|0.1238|1|2024-04-30 00:01:38
